activity volunteer_id domain signal var axis var_avg
LAYING 8 t BodyAccJerk mean X 0.0878326902592593
LAYING 8 t BodyAccJerk mean Y 0.0233299159137037
LAYING 8 t BodyAccJerk mean Z -0.0169218791344444
LAYING 8 t BodyAccJerk std X -0.973253042222222
LAYING 8 t BodyAccJerk std Y -0.976520952037037
LAYING 8 t BodyAccJerk std Z -0.96608757462963
LAYING 8 t BodyGyro mean X 0.00535361206851852
LAYING 8 t BodyGyro mean Y -0.0891374138592593
LAYING 8 t BodyGyro mean Z 0.13818830737037
LAYING 8 t BodyGyro std X -0.965204017592593
LAYING 8 t BodyGyro std Y -0.952039385740741
LAYING 8 t BodyGyro std Z -0.96758975462963
LAYING 8 t BodyGyroJerk mean X -0.106445008314815
LAYING 8 t BodyGyroJerk mean Y -0.0389735198722222
LAYING 8 t BodyGyroJerk mean Z -0.0694123150925926
LAYING 8 t BodyGyroJerk std X -0.969924077407407
LAYING 8 t BodyGyroJerk std Y -0.974186451851852
LAYING 8 t BodyGyroJerk std Z -0.987601203703704
LAYING 8 t GravityAcc mean X -0.405930036111111
LAYING 8 t GravityAcc mean Y 0.589922434814815
LAYING 8 t GravityAcc mean Z 0.719831539259259
LAYING 8 t GravityAcc std X -0.918873192333333
LAYING 8 t GravityAcc std Y -0.957990036481482
LAYING 8 t GravityAcc std Z -0.94183626337037
LAYING 9 f BodyAcc mean X -0.946865494
LAYING 9 f BodyAcc mean Y -0.9343665984
LAYING 9 f BodyAcc mean Z -0.9459190006
LAYING 9 f BodyAcc std X -0.9409810272
LAYING 9 f BodyAcc std Y -0.9128367508
LAYING 9 f BodyAcc std Z -0.9419711636
LAYING 9 f BodyAccJerk mean X -0.964304065
LAYING 9 f BodyAccJerk mean Y -0.9640828062
LAYING 9 f BodyAccJerk mean Z -0.955909215
LAYING 9 f BodyAccJerk std X -0.9686013042
LAYING 9 f BodyAccJerk std Y -0.966634136
LAYING 9 f BodyAccJerk std Z -0.9597147176
LAYING 9 f BodyGyro mean X -0.930297921
LAYING 9 f BodyGyro mean Y -0.9345796594
LAYING 9 f BodyGyro mean Z -0.9598150092
LAYING 9 f BodyGyro std X -0.9463891504
LAYING 9 f BodyGyro std Y -0.9231319366
LAYING 9 f BodyGyro std Z -0.965686312
LAYING 9 t BodyAcc mean X 0.2591955368
LAYING 9 t BodyAcc mean Y -0.020526821662
LAYING 9 t BodyAcc mean Z -0.10754972144
LAYING 9 t BodyAcc std X -0.94233309
LAYING 9 t BodyAcc std Y -0.9162927764
LAYING 9 t BodyAcc std Z -0.9407072854
LAYING 9 t BodyAccJerk mean X 0.08807344764
LAYING 9 t BodyAccJerk mean Y 0.011561732718
LAYING 9 t BodyAccJerk mean Z -0.0070536778584
LAYING 9 t BodyAccJerk std X -0.9647404702
LAYING 9 t BodyAccJerk std Y -0.9639966798
LAYING 9 t BodyAccJerk std Z -0.958562455
LAYING 9 t BodyGyro mean X -0.013632036148
LAYING 9 t BodyGyro mean Y -0.15890291983
LAYING 9 t BodyGyro mean Z 0.101275010682
LAYING 9 t BodyGyro std X -0.9422465098
LAYING 9 t BodyGyro std Y -0.9266185314
LAYING 9 t BodyGyro std Z -0.9615953704
LAYING 9 t BodyGyroJerk mean X -0.10384667982
LAYING 9 t BodyGyroJerk mean Y -0.027552256948
LAYING 9 t BodyGyroJerk mean Z -0.0569490475
LAYING 9 t BodyGyroJerk std X -0.945329035
LAYING 9 t BodyGyroJerk std Y -0.9621702422
LAYING 9 t BodyGyroJerk std Z -0.9770761602
LAYING 9 t GravityAcc mean X -0.5802528348
LAYING 9 t GravityAcc mean Y -0.1191541962
LAYING 9 t GravityAcc mean Z 0.9578730416
LAYING 9 t GravityAcc std X -0.9218210626
LAYING 9 t GravityAcc std Y -0.9699944882
LAYING 9 t GravityAcc std Z -0.9712046902
LAYING 10 f BodyAcc mean X -0.96918420862069
LAYING 10 f BodyAcc mean Y -0.954341849137931
LAYING 10 f BodyAcc mean Z -0.964300845172414
LAYING 10 f BodyAcc std X -0.96796803862069
LAYING 10 f BodyAcc std Y -0.946229148258621
LAYING 10 f BodyAcc std Z -0.959813667810345
LAYING 10 f BodyAccJerk mean X -0.979014668793104
LAYING 10 f BodyAccJerk mean Y -0.968039173793103
LAYING 10 f BodyAccJerk mean Z -0.972592212931034
LAYING 10 f BodyAccJerk std X -0.978904364137931
LAYING 10 f BodyAccJerk std Y -0.968120692241379
LAYING 10 f BodyAccJerk std Z -0.978582339137931
LAYING 10 f BodyGyro mean X -0.953793912068965
LAYING 10 f BodyGyro mean Y -0.954670034482759
LAYING 10 f BodyGyro mean Z -0.969755777241379
LAYING 10 f BodyGyro std X -0.96454456637931
LAYING 10 f BodyGyro std Y -0.953453496551724
LAYING 10 f BodyGyro std Z -0.975298797068965
LAYING 10 t BodyAcc mean X 0.280230574137931
LAYING 10 t BodyAcc mean Y -0.024294484137931
LAYING 10 t BodyAcc mean Z -0.117168642362069
LAYING 10 t BodyAcc std X -0.968283685
LAYING 10 t BodyAcc std Y -0.946454302068966
LAYING 10 t BodyAcc std Z -0.95947148637931
LAYING 10 t BodyAccJerk mean X 0.073815064487931
LAYING 10 t BodyAccJerk mean Y 0.015698997097069
LAYING 10 t BodyAccJerk mean Z 0.00716689586275862
LAYING 10 t BodyAccJerk std X -0.978007466724138
LAYING 10 t BodyAccJerk std Y -0.966930793448276
LAYING 10 t BodyAccJerk std Z -0.976256662586207
LAYING 10 t BodyGyro mean X -0.019555937162069
LAYING 10 t BodyGyro mean Y -0.0770325657265517
LAYING 10 t BodyGyro mean Z 0.104720478344828
LAYING 10 t BodyGyro std X -0.961713199827586
LAYING 10 t BodyGyro std Y -0.953660207586207
LAYING 10 t BodyGyro std Z -0.971940597413793
LAYING 10 t BodyGyroJerk mean X -0.100308254413793
LAYING 10 t BodyGyroJerk mean Y -0.0388797920413793
LAYING 10 t BodyGyroJerk mean Z -0.0590744912758621
LAYING 10 t BodyGyroJerk std X -0.965900578103448
LAYING 10 t BodyGyroJerk std Y -0.966621040344828
LAYING 10 t BodyGyroJerk std Z -0.983949302758621
LAYING 10 t GravityAcc mean X -0.453069737586207
LAYING 10 t GravityAcc mean Y -0.139297681034483
LAYING 10 t GravityAcc mean Z -0.031121624137931
LAYING 10 t GravityAcc std X -0.954531941896552
LAYING 10 t GravityAcc std Y -0.966701156034483
LAYING 10 t GravityAcc std Z -0.963045642431035
LAYING 11 f BodyAcc mean X -0.983801365614035
LAYING 11 f BodyAcc mean Y -0.971403935438596
LAYING 11 f BodyAcc mean Z -0.973576812807018
LAYING 11 f BodyAcc std X -0.985322211929825
LAYING 11 f BodyAcc std Y -0.973589287368421
LAYING 11 f BodyAcc std Z -0.971668077017544
LAYING 11 f BodyAccJerk mean X -0.984884874385965
LAYING 11 f BodyAccJerk mean Y -0.973882496666667
LAYING 11 f BodyAccJerk mean Z -0.979564844210526
LAYING 11 f BodyAccJerk std X -0.987122678245614
LAYING 11 f BodyAccJerk std Y -0.973486716315789
LAYING 11 f BodyAccJerk std Z -0.983302949122807
LAYING 11 f BodyGyro mean X -0.97618747122807
LAYING 11 f BodyGyro mean Y -0.982640271929825
LAYING 11 f BodyGyro mean Z -0.961434420701754
LAYING 11 f BodyGyro std X -0.982424585438596
LAYING 11 f BodyGyro std Y -0.982660631754386
LAYING 11 f BodyGyro std Z -0.963183902982456
LAYING 11 t BodyAcc mean X 0.280592970877193
LAYING 11 t BodyAcc mean Y -0.0176598052315789
LAYING 11 t BodyAcc mean Z -0.108786578070175
LAYING 11 t BodyAcc std X -0.98477733
LAYING 11 t BodyAcc std Y -0.972196873859649
LAYING 11 t BodyAcc std Z -0.971311176842105
LAYING 11 t BodyAccJerk mean X 0.0766645337017544
LAYING 11 t BodyAccJerk mean Y 0.0122193853629825
LAYING 11 t BodyAccJerk mean Z 0.00277690502070175
LAYING 11 t BodyAccJerk std X -0.985259108596491
LAYING 11 t BodyAccJerk std Y -0.972777455263158
LAYING 11 t BodyAccJerk std Z -0.982111784210526
LAYING 11 t BodyGyro mean X -0.0191743840136842
LAYING 11 t BodyGyro mean Y -0.041559989822807
LAYING 11 t BodyGyro mean Z 0.152019015929825
LAYING 11 t BodyGyro std X -0.980836884561403
LAYING 11 t BodyGyro std Y -0.982442644035088
LAYING 11 t BodyGyro std Z -0.959897432807018
LAYING 11 t BodyGyroJerk mean X -0.102297501877193
LAYING 11 t BodyGyroJerk mean Y -0.0412391429298246
LAYING 11 t BodyGyroJerk mean Z -0.0666957489649123
